"County, State",Population,Income (Median),% Children in Poverty,Education (% completed High School),Education (% completed college),Social Association Rate,% Unemployed,Trama,Suicide rate,Homicide Rate,% Fair or Poor Health,% Excessive Drinking,Teen Birth Rate,% With Access to Exercise Opportunities,% Physically Inactive,Food Environment Index,% Adults with Obesity,% Adults Reporting Currently Smoking,% Low Birthweight,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Injury Death Rate,PTSD,Psychosis ,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,% Severe Housing Problems,% Long Commute - Drives Alone,% Insufficient Sleep,% Disconnected Youth,% Households with Broadband Access,Desert Y/N,% Living in Desert,Deppresion ,% Homeowners,% Households with Severe Cost Burden,Traffic Volume,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,Drug Overdose Mortality Rate,% Uninsured Adults,% Uninsured Children,Other Primary Care Provider Ratio,% Less than 18 Years of Age,% 65 and Over,% Rural
"Treasure, MONTANA",758,60454,17,94,80,0.0,2.0,,,,15,18,,,24,4.4,34,18,,3.6,4.9,,,,768:0,758:0,758:0,,30,43,12,15,31,,74,Y,1,,68,10,1,,,,,11,17,9,0,,14,11,758:0,22.8,31.0,100.0
"Valley, MONTANA",7513,79703,14,93,67,11.9,2.5,80.8,,,15,21,21,59,25,7.5,37,19,6,3.6,4.8,137,16.8,24,1077:1,3757:1,751:1,1616,52,18,8,17,35,,83,Y,1,40,76,7,20,77.1,451,,,12,17,9,,,12,8,501:1,21.7,24.8,100.0
"Wheatland, MONTANA",2032,44002,21,92,44,0.0,3.7,,,,18,19,,61,26,6.6,37,21,8,4.1,5.3,149,,,,2032:0,677:1,,29,31,17,18,33,,77,Y,1,,77,13,3,74.2,510,,,13,18,10,0,,18,14,677:1,24.7,25.0,100.0
"Wibaux, MONTANA",919,56317,19,95,41,0.0,2.4,,,,14,20,,,23,4.5,33,18,,3.5,4.9,,,,934:0,919:0,919:0,1656,26,31,6,24,31,,80,Y,1,,74,12,5,,,,,11,16,8,0,,12,10,919:0,21.3,24.2,100.0
"Yellowstone, MONTANA",169852,78216,10,95,70,13.1,2.4,92.2,27,5,13,23,17,81,20,8.6,33,16,8,3.6,5.2,103,20.9,30,929:1,999:1,235:1,2103,49,52,14,14,31,6,89,Y,0.2,41,70,11,96,76.3,424,57,6,11,16,8,101,26,11,7,477:1,22.8,18.0,16.5
"Adair, KENTUCKY",19067,44153,32,86,53,4.2,4.5,56,19,,23,13,20,43,32,7.6,41,23,8,4.9,5.7,98,21,22,3786:1,6356:1,367:1,3499,42,30,13,27,39,,82,Y,0.27,27,76,9,4,73.6,540,65,,15,20,12,98,26,9,5,706:1,19.3,19.7,73.5
"Allen, KENTUCKY",21275,61655,22,87,57,5.3,3.8,74,21,10,22,14,31,28,31,7.2,42,24,9,4.9,5.9,120,24.2,24,6932:1,3546:1,1330:1,3815,36,38,15,42,41,18,80,Y,0.38,38,77,13,5,73.7,563,80,,15,20,11,86,38,8,5,1934:1,22.7,18.2,77.5
"Anderson, KENTUCKY",24224,66846,17,91,63,10.0,3.2,79.1,18,,18,15,26,29,27,8.2,34,20,8,4.3,5.7,102,23.8,24,3434:1,2422:1,1101:1,2840,39,42,10,48,38,,87,Y,0.21,39,79,7,19,75.0,471,64,,13,18,10,119,43,7,4,1425:1,22.9,16.8,43.2
"Ballard, KENTUCKY",7650,56605,22,92,58,18.2,4.8,78.3,,,21,14,32,33,30,8.5,41,23,9,4.8,5.6,112,13.8,12,,3825:1,7650:1,3641,46,49,10,34,39,,85,Y,1,16,80,8,11,74.0,518,,,14,20,11,,,8,5,2550:1,19.8,22.3,100.0
"Barren, KENTUCKY",44854,50658,22,85,51,8.1,4.1,93.4,25,,24,13,32,62,33,6.6,42,25,8,5.1,6.1,92,23.2,34,1437:1,2990:1,444:1,3328,36,48,17,30,38,8,84,Y,0.41,31,66,14,24,74.2,526,51,5,16,20,12,97,16,9,4,575:1,23.4,18.3,62.1
