"County, State",Population,Income (Median),% Children in Poverty,Education (% completed High School),Education (% completed college),Social Association Rate,% Unemployed,Trama,Suicide rate,Homicide Rate,% Fair or Poor Health,% Excessive Drinking,Teen Birth Rate,% With Access to Exercise Opportunities,% Physically Inactive,Food Environment Index,% Adults with Obesity,% Adults Reporting Currently Smoking,% Low Birthweight,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Injury Death Rate,PTSD,Psychosis ,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,% Severe Housing Problems,% Long Commute - Drives Alone,% Insufficient Sleep,% Disconnected Youth,% Households with Broadband Access,Desert Y/N,% Living in Desert,Deppresion ,% Homeowners,% Households with Severe Cost Burden,Traffic Volume,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,Drug Overdose Mortality Rate,% Uninsured Adults,% Uninsured Children,Other Primary Care Provider Ratio,% Less than 18 Years of Age,% 65 and Over,% Rural
"Adams, Pennsylvania",102470,76554,10,90,58,12.9,3.3,68.8,14,2,15,18,11,73,24,8.9,37,18,7,3.5,5.2,78,19.6,17,1859:1,3029:1,835:1,2541,53,55,10,42,33,3,88,Y,0.24,32,78,10,48,79.4,305,42,4,11,16,8,215,19,8,6,1178:1,19.1,21.8,63.3
"Allegheny, Pennsylvania",1221744,71973,14,95,80,11.3,4.2,68.9,14,9,14,21,10,93,21,8.3,32,16,9,3.3,5.1,110,17.1,20,915:1,1022:1,225:1,3140,46,53,13,39,34,4,89,N,0,30,65,12,202,77.2,393,56,6,10,15,8,266,50,6,3,401:1,18.4,20.4,2.4
"Armstrong, Pennsylvania",65867,57609,16,92,56,19.2,5.3,48.2,20,3,16,17,16,73,25,8.3,36,20,7,3.8,5.1,124,18.6,17,2325:1,3237:1,654:1,2839,43,41,10,45,37,6,83,Y,0.33,27,79,8,34,75.3,469,56,6,12,17,9,78,45,6,4,1177:1,18.9,24.0,64.9
"Beaver, Pennsylvania",165833,67135,14,95,69,14.0,5.4,68.8,14,4,15,18,14,85,23,7.7,36,19,7,3.6,4.7,98,16.7,21,2563:1,1972:1,640:1,2920,45,48,10,38,35,4,86,Y,0.07,36,74,9,77,75.9,446,50,6,11,16,9,89,41,6,3,1035:1,19.2,22.9,28.9
"Bedford, Pennsylvania",48337,55517,15,90,52,17.7,4.5,46.3,22,3,17,17,17,65,26,8.2,37,21,6,3.9,5.2,119,15.6,19,2966:1,2155:1,668:1,2908,48,37,10,35,35,6,81,Y,0.56,22,79,10,15,76.5,436,52,6,12,18,9,80,34,9,6,912:1,19.2,23.9,90.7
"Berks, Pennsylvania",418025,72157,14,88,59,10.7,4.3,58.2,15,4,17,17,18,86,25,8.6,36,18,8,3.7,5,82,16.4,21,1590:1,1786:1,557:1,3678,45,55,13,33,35,5,86,Y,0.05,30,71,12,146,78.0,359,49,6,12,16,10,254,32,9,5,1068:1,21.8,18.2,26.6
"Blair, Pennsylvania",123157,57884,17,93,59,18.5,4.5,74.3,17,2,16,17,18,78,25,8.1,34,21,7,3.9,5.1,93,20.1,23,1295:1,1552:1,341:1,3452,43,44,12,21,37,5,83,Y,0.11,33,72,10,95,75.4,463,41,6,12,18,9,98,32,8,5,455:1,19.9,21.7,25.7
"Bradford, Pennsylvania",60963,63529,17,91,51,14.0,4.2,78.2,17,3,17,17,24,61,27,8.2,41,21,6,3.9,5.1,91,18.9,25,982:1,1814:1,981:1,2715,51,45,11,34,37,11,84,Y,0.48,34,72,9,27,77.6,379,47,,12,18,9,75,20,9,6,372:1,21.9,22.6,73.0
"Bucks, Pennsylvania",626806,105202,7,95,73,8.0,3.8,55.5,13,2,12,19,5,92,21,9.1,31,15,7,2.9,4.9,82,12.3,19,1238:1,1142:1,333:1,2956,47,60,13,44,35,7,93,Y,0.01,28,78,12,140,79.3,308,32,3,9,15,7,164,34,5,3,1146:1,19.7,20.7,10.3
"Butler, Pennsylvania",186899,81507,8,96,74,12.0,4.2,63.1,14,1,12,20,7,84,21,8.9,32,16,7,3.3,4.4,85,16.3,21,1472:1,1399:1,472:1,2318,48,50,10,43,35,4,89,Y,0.14,35,76,10,49,77.9,346,34,4,10,15,7,49,37,5,3,799:1,18.9,20.8,43.3
"Cambria, Pennsylvania",133009,54612,22,93,63,19.8,5.4,68,18,5,16,17,17,85,26,7.7,39,20,9,3.9,5.5,134,22.3,22,1437:1,1685:1,440:1,3429,46,42,11,29,37,5,81,Y,0.02,37,76,10,54,74.9,483,45,6,12,18,9,100,58,7,3,567:1,19.0,24.2,46.1
"Cameron, Pennsylvania",4611,50338,23,93,53,24.7,5.7,,,,19,16,21,31,29,7.6,39,24,9,4.3,5.5,99,,,2230:1,1105:1,2209:1,3580,46,43,13,21,38,,78,Y,1,,71,9,0,77.0,440,,,14,19,10,,,7,5,631:1,17.3,29.2,100.0
"Carbon, Pennsylvania",63887,64766,16,90,54,13.3,5.1,66.4,24,3,17,17,15,65,27,8.3,36,20,8,3.9,5.5,142,21.7,26,2973:1,2424:1,1284:1,3508,47,55,14,52,35,13,87,Y,0.15,37,75,12,42,75.3,461,48,,12,17,9,263,54,7,4,1091:1,18.8,22.5,58.9
"Centre, Pennsylvania",161960,67654,10,95,73,13.1,3.6,62.3,10,1,14,19,2,76,23,8.9,33,17,6,3.4,5.2,45,14.6,16,1202:1,1703:1,410:1,2402,56,57,18,23,35,1,85,Y,0.21,34,63,17,90,81.6,229,29,5,11,16,9,148,7,7,6,720:1,14.3,16.0,34.6
"Chester, Pennsylvania",519560,117326,6,95,81,9.7,3.2,54.9,12,2,11,18,5,90,18,9.1,32,12,6,3,4.6,64,14.2,16,1250:1,1433:1,347:1,2655,47,60,12,43,31,5,93,Y,0.03,25,75,11,104,81.1,241,33,4,9,14,7,108,23,6,5,963:1,21.8,17.9,19.3
"Clarion, Pennsylvania",38715,57844,16,91,54,15.6,5.2,73.7,17,,17,18,11,48,26,7.8,37,21,6,4,5.4,85,15.7,26,2186:1,2334:1,602:1,2595,45,40,13,31,37,,82,Y,0.32,24,71,10,22,75.9,442,45,8,12,18,9,206,18,8,6,889:1,18.6,20.7,84.8
"Clearfield, Pennsylvania",79908,59318,16,90,53,17.6,5.4,86.4,23,2,18,18,18,64,27,7.7,37,22,9,3.9,5.2,100,24.1,29,2164:1,2226:1,295:1,3099,53,43,12,33,37,10,80,Y,0.42,42,78,10,26,76.2,423,79,8,13,18,10,97,30,8,5,430:1,18.3,22.1,61.3
"Clinton, Pennsylvania",38915,58892,18,90,51,12.3,5.3,86.8,19,,17,18,12,55,27,8.0,37,22,7,4,5.3,78,28,38,2882:1,2371:1,690:1,2705,49,55,12,32,36,6,82,Y,0.19,37,71,11,49,77.0,403,63,,13,18,9,81,19,9,7,973:1,19.9,19.9,47.9
"Columbia, Pennsylvania",65715,59127,14,92,58,14.8,4.5,70.5,19,4,16,17,8,77,26,8.3,41,20,8,3.9,5.2,86,19.3,23,1753:1,2094:1,1299:1,2488,52,52,11,26,36,7,85,Y,0.31,35,71,11,67,77.5,393,33,,12,17,9,176,32,7,4,1299:1,17.4,20.4,44.7
"Crawford, Pennsylvania",85665,54774,19,91,49,15.2,4.8,57.3,17,3,17,17,18,76,27,8.0,39,22,8,4.1,5.4,98,14.9,23,1634:1,2234:1,599:1,2695,52,43,11,28,36,9,83,Y,0.46,29,74,9,22,75.8,429,74,9,12,18,9,119,35,9,6,765:1,20.4,22.6,65.8
"Cumberland, Pennsylvania",249328,81295,9,93,69,12.8,3.4,70.6,11,2,13,17,8,88,20,8.8,31,15,7,3.2,4.5,64,19.9,21,1153:1,1436:1,424:1,2356,53,53,11,25,36,5,90,Y,0.08,31,70,10,139,79.6,300,34,5,10,15,8,154,19,7,5,616:1,20.2,19.1,20.9
"Dauphin, Pennsylvania",275632,67813,16,91,67,17.7,4.0,73.1,14,7,16,17,21,89,25,8.1,37,17,9,3.4,4.6,89,19.2,23,968:1,1350:1,366:1,2904,48,50,14,25,37,5,88,Y,0.04,38,63,12,187,77.3,397,61,7,11,16,10,435,33,8,4,358:1,22.1,18.2,14.8
"Delaware, Pennsylvania",564554,83856,13,94,72,7.9,4.1,53.3,12,8,15,17,10,98,23,9.0,33,16,9,3.3,4.8,86,12.4,15,995:1,1186:1,285:1,2787,44,57,16,46,38,6,91,N,0,29,69,15,305,77.6,372,51,7,10,15,9,297,37,6,3,903:1,21.7,17.6,0.8
"Elk, Pennsylvania",30340,57570,14,93,56,17.5,4.9,81.8,25,,15,17,13,76,25,8.3,35,20,7,3.8,5.1,121,30.8,22,2798:1,3048:1,896:1,2361,54,50,7,18,35,,84,Y,0.05,39,79,7,36,77.2,400,51,,12,17,8,60,33,7,4,824:1,19.0,24.0,55.9
"Erie, Pennsylvania",273835,56489,20,93,64,12.9,5.0,70.6,16,5,17,18,18,85,25,6.9,38,20,9,3.9,5.1,88,17.3,22,1234:1,1431:1,380:1,3055,51,54,14,20,34,6,86,Y,0.11,32,68,13,100,76.6,411,51,7,12,17,10,135,29,7,4,481:1,20.6,19.8,24.0
"Fayette, Pennsylvania",131302,51494,23,90,52,13.6,6.1,60.2,18,5,18,17,25,64,29,7.3,37,22,10,4.3,6,129,15,20,2701:1,1497:1,218:1,3299,43,47,13,38,39,8,82,Y,0.14,32,73,11,47,73.4,556,67,7,13,19,10,113,55,8,4,744:1,19.1,22.8,55.1
"Forest, Pennsylvania",7313,43362,29,86,32,7.1,6.5,22.8,,,21,17,,88,30,6.4,40,23,10,4.1,4.9,81,,,,,2209:1,3119,48,39,12,41,40,,67,Y,1,,83,10,2,73.6,504,,,13,16,11,116,,6,1,6626:1,3.5,25.4,100.0
"Franklin, Pennsylvania",154147,73709,12,90,55,14.9,3.7,70.9,12,2,16,18,17,73,25,8.4,38,19,7,3.8,5,68,20.8,21,1628:1,2149:1,751:1,2394,48,46,10,30,37,6,86,Y,0.23,39,73,10,57,77.9,366,54,6,12,17,9,125,17,9,8,912:1,21.5,20.5,44.5
"Fulton, Pennsylvania",14506,64405,17,89,53,16.5,4.1,38.6,16,,17,18,18,48,26,8.6,37,21,7,3.9,5.3,87,14,9,4841:1,3633:1,1615:1,2306,41,33,11,50,38,,80,Y,0.32,26,77,9,9,76.2,433,,,12,18,9,64,30,7,5,1038:1,19.3,22.4,100.0
"Greene, Pennsylvania",36870,63082,18,89,51,13.3,5.3,66.9,18,,17,18,16,72,26,7.8,37,21,10,3.9,5.1,105,18.6,23,2211:1,2666:1,722:1,4229,42,40,9,47,37,6,84,Y,0.29,21,79,8,37,74.4,501,75,,12,17,9,101,39,8,5,1507:1,19.1,21.0,75.7
"Huntingdon, Pennsylvania",45369,58170,16,90,47,17.5,5.6,59.4,21,,17,18,16,62,27,8.6,38,20,7,3.9,5.1,83,18.3,19,3135:1,3329:1,698:1,2714,49,44,9,46,37,5,83,Y,0.49,29,79,9,33,77.6,384,57,9,12,17,9,174,24,7,5,962:1,17.7,22.5,74.3
"Indiana, Pennsylvania",85032,53040,18,92,64,14.7,5.3,78.8,14,2,17,19,9,66,25,8.2,39,20,7,3.9,5.1,108,21.5,30,1973:1,2304:1,261:1,3330,48,44,13,34,36,7,79,Y,0.45,33,71,10,48,76.1,437,38,4,12,17,9,57,46,9,6,912:1,17.7,20.7,59.8
"Jefferson, Pennsylvania",43846,54248,19,91,47,19.3,4.9,61.6,15,,17,18,17,65,28,8.2,38,22,9,4,5.3,93,17,21,2101:1,2433:1,952:1,2560,52,43,12,29,36,11,81,Y,0.22,27,75,9,29,76.5,421,51,,13,18,9,,27,10,7,755:1,21.1,22.2,73.5
"Juniata, Pennsylvania",24624,62661,15,83,45,21.9,4.3,46,18,,18,17,15,54,27,8.8,37,22,6,4.1,5.3,80,17.4,16,5824:1,5835:1,4668:1,2882,54,51,11,45,37,13,79,Y,0.46,10,73,7,9,77.1,390,68,,13,18,9,91,,12,9,2593:1,21.8,21.4,100.0
"Lackawanna, Pennsylvania",210652,61168,17,92,64,10.3,4.7,71,17,2,16,17,14,93,25,8.0,33,19,8,3.7,5.1,98,22.3,25,1212:1,1239:1,358:1,3229,43,53,14,23,35,8,86,Y,0.08,35,65,13,143,76.3,440,41,6,12,17,9,237,41,7,4,572:1,20.3,20.6,17.6
"Lancaster, Pennsylvania",540999,82434,12,87,60,13.8,3.5,71.2,11,2,15,17,11,81,23,8.8,35,17,6,3.6,4.8,75,17.9,19,1384:1,1692:1,523:1,2186,53,60,14,30,37,6,85,Y,0.1,31,70,12,104,79.3,315,49,5,11,16,8,174,25,11,11,871:1,22.9,19.7,27.9
"Lawrence, Pennsylvania",86727,58730,17,92,60,15.4,5.4,67.5,18,5,17,18,17,88,26,7.7,36,20,9,4,5.2,121,16.1,25,2443:1,1697:1,610:1,2590,43,48,12,32,37,7,85,Y,0.19,34,75,10,40,74.7,492,79,7,12,18,9,94,50,8,5,1048:1,19.8,23.4,42.4
"Lebanon, Pennsylvania",139729,69490,14,88,57,14.4,3.7,66.6,14,2,16,18,18,87,26,8.5,36,19,8,3.7,4.8,76,15.1,22,1729:1,1846:1,291:1,2399,52,52,13,30,35,8,86,Y,0.12,29,72,11,76,77.7,364,41,5,12,17,9,174,25,9,6,818:1,22.4,20.5,25.4
"Lehigh, Pennsylvania",365052,72590,16,90,66,9.9,4.4,56.3,13,4,17,19,17,85,26,8.4,34,17,8,3.4,4.8,90,14.6,20,1037:1,1137:1,421:1,3245,52,58,16,30,37,7,88,Y,0.04,32,65,14,196,78.4,337,41,6,11,15,10,392,31,10,4,482:1,22.3,17.6,9.9
"Luzerne, Pennsylvania",317663,59358,21,90,60,10.3,5.3,63.1,18,4,17,17,20,88,28,7.9,37,20,8,3.9,5.1,113,18.8,22,1320:1,1532:1,752:1,3020,47,50,13,26,39,10,85,Y,0.11,36,67,13,128,75.0,481,55,6,12,17,10,171,55,9,5,624:1,20.2,20.2,22.2
"Lycoming, Pennsylvania",114330,61729,16,91,59,15.8,4.7,65.3,15,10,16,17,16,54,26,7.7,37,19,8,3.7,5.1,85,20,19,1306:1,1950:1,483:1,2587,57,52,14,21,37,10,85,Y,0.3,31,70,11,90,76.5,414,61,7,12,17,9,188,30,7,5,400:1,20.5,20.8,40.4
"McKean, Pennsylvania",41401,58112,21,93,50,19.0,5.4,67.6,14,,17,17,19,82,28,8.2,37,21,10,4,5.5,75,17.4,17,1737:1,2098:1,712:1,2519,45,43,10,27,37,,84,Y,0.31,37,77,9,34,75.7,461,47,,13,18,9,64,19,7,5,1049:1,19.2,21.0,72.4
"Mercer, Pennsylvania",111518,57702,18,91,60,15.7,5.0,53.5,17,4,17,17,16,87,27,7.5,40,20,8,4,5.5,113,18.8,20,1617:1,1734:1,461:1,2771,49,45,11,26,37,7,83,Y,0.18,27,72,10,53,75.0,474,62,7,12,18,9,79,48,7,5,853:1,18.7,23.3,47.9
"Mifflin, Pennsylvania",46276,57096,21,85,43,15.8,4.8,59.1,17,,19,17,17,69,29,7.7,36,23,7,4.3,5.4,92,15,21,1648:1,2874:1,978:1,2973,57,57,11,32,38,14,81,Y,0.42,23,72,9,66,76.0,436,71,10,13,19,10,67,23,10,7,657:1,22.5,22.0,54.5
"Monroe, Pennsylvania",168032,79824,16,90,60,7.2,5.7,69.9,15,4,17,16,8,77,25,8.5,33,17,9,3.6,4.6,93,20.5,26,2489:1,2697:1,658:1,3278,45,48,16,49,38,6,91,Y,0.08,38,79,14,65,77.5,386,40,6,11,16,10,234,39,8,4,1007:1,19.1,19.6,56.8
"Montgomery, Pennsylvania",823823,106743,7,95,80,10.7,3.5,53.5,12,2,12,19,6,97,20,9.2,31,13,7,3,4.7,69,12.7,15,766:1,934:1,234:1,2948,49,62,13,45,32,4,93,N,0,27,72,12,171,80.1,282,30,4,9,14,8,114,26,5,3,771:1,21.0,19.0,3.3
"Montour, Pennsylvania",18259,76229,13,93,73,17.1,3.4,60.8,20,13,15,17,10,50,23,8.7,34,17,7,3.5,5.1,133,11.7,21,172:1,646:1,166:1,2597,55,62,12,21,35,,85,Y,0.21,48,70,12,96,77.7,373,,,11,16,8,117,35,6,5,53:1,19.9,22.1,54.3
"Northampton, Pennsylvania",302809,75468,14,92,68,9.8,4.2,59.3,15,2,15,19,9,90,23,8.7,32,16,8,3.3,4.8,84,13.2,21,1240:1,1694:1,356:1,3510,50,58,13,36,36,4,88,Y,0.04,33,71,12,114,79.3,321,29,4,11,16,9,71,33,7,4,501:1,19.0,20.3,16.9
"Northumberland, Pennsylvania",91761,57822,18,90,52,16.1,5.0,63.1,13,4,17,17,22,60,26,8.3,39,21,8,3.9,5.1,105,18,24,2282:1,2372:1,1839:1,3695,56,53,11,33,37,9,81,Y,0.09,33,74,10,76,75.5,458,63,6,12,18,9,126,43,7,5,1878:1,19.5,22.4,35.3
"Perry, Pennsylvania",46053,67834,13,89,49,16.1,3.6,64.8,22,,16,18,19,46,25,9.0,35,20,7,3.7,5.2,101,19.7,27,3832:1,4611:1,2562:1,2826,47,49,10,59,36,6,84,Y,0.53,33,81,9,22,76.7,393,63,6,12,17,9,46,35,9,9,3294:1,20.7,20.6,93.5
"Philadelphia, Pennsylvania",1579075,56385,28,87,68,7.6,5.4,53.1,10,24,21,19,23,100,30,7.9,31,19,11,4.1,5.8,131,12.2,15,1412:1,1216:1,292:1,4199,41,47,22,53,38,10,85,N,0,28,52,21,563,74.5,541,74,8,13,18,12,1264,69,10,4,544:1,21.1,14.7,0.0
"Pike, Pennsylvania",55453,81886,13,93,65,6.3,5.6,66.6,16,3,15,17,8,59,24,8.7,39,17,8,3.6,4.8,105,23,23,3997:1,6729:1,1081:1,3148,40,48,17,61,35,7,89,Y,0.55,36,84,16,20,79.5,349,38,,11,16,9,239,38,7,5,5047:1,16.9,24.1,87.2
"Potter, Pennsylvania",16806,53935,23,90,49,19.1,5.9,45.4,27,,18,17,24,28,28,8.3,39,22,7,4.1,5.5,105,16.1,21,2710:1,2317:1,3244:1,2599,41,26,12,33,36,,83,Y,0.74,25,80,10,13,77.1,408,,,13,18,10,50,,9,7,579:1,20.0,25.9,100.0
"Schuylkill, Pennsylvania",142674,63680,16,90,53,12.9,5.0,70.8,20,11,17,18,19,75,27,8.3,39,21,9,3.8,4.9,111,19.2,24,1990:1,2016:1,973:1,3190,46,53,11,37,36,6,83,Y,0.11,37,77,10,66,74.6,496,66,7,12,17,9,136,45,8,5,1301:1,19.8,21.2,47.1
"Snyder, Pennsylvania",40483,62382,14,85,48,15.1,4.3,65.5,11,,16,18,10,62,26,8.8,36,20,6,3.8,5.3,66,13.6,24,2476:1,1888:1,1166:1,2782,60,58,10,30,37,5,80,Y,0.5,27,75,8,65,79.7,321,35,,12,17,9,71,12,10,8,1101:1,20.3,20.9,70.3
"Somerset, Pennsylvania",74361,50516,19,90,49,20.6,5.4,53.2,15,2,17,18,15,64,26,8.2,39,21,7,3.9,5.1,99,16.2,21,2727:1,2345:1,706:1,2919,48,38,9,30,37,11,79,Y,0.4,32,81,8,37,76.1,433,55,5,12,17,9,84,29,9,6,1232:1,18.1,24.0,77.6
"Sullivan, Pennsylvania",6135,59957,23,91,43,15.3,5.3,79.7,,,16,16,24,38,26,7.4,36,20,6,3.9,5.2,103,35.4,22,,5855:1,5855:1,1361,45,46,10,49,36,,78,Y,1,49,85,8,0,76.1,424,,,12,17,9,,,9,7,2928:1,9.6,32.3,100.0
"Susquehanna, Pennsylvania",40970,63413,19,92,50,10.4,4.2,56.6,22,4,17,17,17,47,26,8.1,41,21,7,3.9,5.1,97,17.5,16,2742:1,4759:1,1228:1,2867,43,44,13,43,36,9,87,Y,0.85,30,79,11,16,77.7,367,58,,12,18,9,81,18,9,7,1655:1,18.5,25.3,100.0
"Tioga, Pennsylvania",40944,61190,18,92,54,15.4,4.9,75.7,20,,16,17,18,54,26,7.5,38,20,6,3.9,5.3,87,19.2,14,2274:1,1787:1,721:1,2198,52,41,11,36,36,8,83,Y,0.45,17,76,10,14,76.9,389,52,,12,18,9,74,29,8,4,979:1,19.2,23.6,100.0
"Union, Pennsylvania",45111,65521,12,86,46,14.8,3.9,64.1,10,,16,19,7,78,26,7.9,35,19,5,3.8,4.9,57,20.9,18,925:1,1527:1,570:1,1667,60,57,12,22,37,12,77,Y,0.08,23,72,10,58,80.7,264,35,,12,16,9,254,12,9,7,509:1,17.4,19.2,63.2
"Venango, Pennsylvania",51818,52449,20,91,53,20.6,5.0,67.4,23,,17,16,22,68,25,8.2,35,21,8,3.8,5.1,99,19.8,26,1665:1,2620:1,461:1,3290,44,48,10,28,37,7,85,Y,0.21,34,75,9,41,75.0,494,59,9,12,18,9,78,27,8,5,524:1,18.7,25.0,56.1
"Warren, Pennsylvania",39756,56707,19,94,57,16.5,4.7,73.5,17,,16,17,20,78,26,8.3,37,20,8,3.8,5.1,88,14.2,20,2542:1,2100:1,727:1,2435,44,43,9,21,35,,82,Y,0.5,34,78,7,46,76.4,411,57,,12,17,9,43,15,7,5,713:1,19.5,24.9,62.0
"Washington, Pennsylvania",207212,70751,13,94,71,12.9,4.6,56.7,18,3,14,18,10,80,22,8.0,34,17,7,3.4,4.7,111,14.6,21,1293:1,1514:1,657:1,3319,44,49,10,41,34,5,87,Y,0.11,33,76,9,79,76.1,436,40,5,10,16,8,59,48,6,4,884:1,19.4,22.1,32.3
"Wayne, Pennsylvania",51422,56973,18,92,49,11.3,5.1,63.6,26,4,16,17,13,58,25,8.7,34,20,7,3.7,5.2,109,13.7,17,2707:1,1706:1,882:1,2942,42,46,14,40,37,8,84,Y,0.37,26,82,12,14,76.8,407,38,,12,17,9,70,36,9,5,1044:1,16.5,25.7,86.2
"Westmoreland, Pennsylvania",352590,71152,13,95,73,13.9,4.6,64,17,2,14,18,10,90,22,8.1,32,16,8,3.7,5.2,110,16.9,22,1385:1,1437:1,491:1,2966,46,51,10,40,34,4,86,Y,0.06,33,78,9,65,76.9,396,47,5,11,16,8,42,41,5,3,1057:1,17.9,24.4,26.5
"Wyoming, Pennsylvania",27327,67643,17,93,53,9.6,4.9,103.7,25,,15,19,16,63,25,8.8,37,19,7,3.7,5.1,120,20.3,44,1736:1,2168:1,1369:1,3047,45,49,10,37,35,,86,Y,0.57,43,77,10,20,75.6,457,,,11,17,9,58,39,7,4,1239:1,19.0,23.0,95.3
"York, Pennsylvania",445565,79938,12,91,62,12.0,3.8,75.9,17,5,15,18,15,79,25,8.7,39,16,9,3.6,4.7,103,20.3,23,1484:1,1794:1,706:1,2586,53,57,12,37,36,8,88,Y,0.11,35,76,11,96,77.7,371,45,5,11,16,9,222,35,7,4,829:1,21.6,19.0,28.5
"Anderson, TEXAS",58064,60800,22,85,43,9.1,3.4,48.2,33,7,22,19,38,37,29,6.2,42,21,8,4.2,5.5,103,12.6,20,2655:1,2151:1,1873:1,3710,36,40,12,30,37,,82,Y,0.61,29,69,11,26,72.0,633,51,,13,18,13,586,21,24,9,1210:1,18.9,15.5,67.9
"Andrews, TEXAS",18334,68998,15,74,44,7.0,3.2,52.2,16,,22,19,43,75,31,7.4,39,17,8,4.1,5.3,76,11,11,2049:1,4584:1,6111:1,3212,32,19,11,34,34,,91,Y,1,32,73,12,44,75.1,498,68,,13,17,13,112,,28,17,1222:1,31.0,10.1,18.3
"Angelina, TEXAS",87101,56825,22,84,56,10.5,4.6,55.6,16,7,22,15,34,66,32,6.3,43,19,9,4.5,5.6,77,15.3,21,1518:1,1708:1,593:1,3223,40,44,15,22,37,17,88,Y,0.34,26,65,12,52,73.4,583,62,7,14,19,14,260,17,27,13,846:1,25.2,16.9,51.9
"Aransas, TEXAS",24944,60523,30,89,54,3.7,5.3,87,36,,20,16,28,67,28,5.3,38,19,9,4,5.5,117,15.1,24,3064:1,3563:1,1134:1,1971,43,47,19,22,36,,89,Y,0.24,54,79,13,41,73.0,644,69,,13,18,12,169,18,26,15,1919:1,18.2,27.8,23.6
"Archer, TEXAS",8835,72062,12,91,62,9.2,3.4,54.3,23,,16,19,16,20,24,7.5,36,18,7,3.7,5.4,80,21.3,19,,,8835:1,2915,41,43,12,18,34,,83,Y,0.66,17,84,11,3,78.0,374,,,11,18,9,,,21,15,8835:1,22.3,21.2,87.4
"Armstrong, TEXAS",1850,67548,14,93,59,27.2,2.8,,,,14,20,,1,21,6.8,34,15,8,3.4,5.1,,,,1839:0,1850:0,,,44,33,6,49,34,,88,Y,1,,87,8,52,72.1,531,,,10,16,8,,,18,13,1850:0,22.5,22.2,100.0
"Atascosa, TEXAS",50864,59817,23,81,44,5.6,4.0,52.9,20,6,22,18,37,44,31,7.7,40,16,8,4,5.1,71,16.9,20,4994:1,2119:1,1817:1,2662,28,34,17,51,34,15,85,Y,0.55,42,75,8,28,75.0,520,48,5,13,16,13,181,9,27,12,1884:1,26.8,14.8,71.5
"Austin, TEXAS",31097,68630,24,88,55,11.2,3.9,43.1,21,5,18,18,21,43,26,8.1,36,16,8,3.7,5.2,77,8.8,13,5063:1,2221:1,2221:1,2553,36,37,16,42,35,,81,Y,0.41,24,80,11,42,77.4,385,54,,12,17,11,232,,24,16,1637:1,23.5,21.1,78.8
"Bailey, TEXAS",6779,52751,22,73,32,10.2,4.2,26.3,,,23,18,48,79,31,8.1,38,16,8,4.1,5.2,107,,,3418:1,2260:1,2260:1,3612,37,33,8,25,34,,79,Y,1,,73,3,44,74.4,528,108,,13,17,13,,,33,20,847:1,29.7,15.5,25.3
"Bandera, TEXAS",22115,69284,19,92,59,10.7,3.7,64.3,29,,16,16,16,69,24,6.9,35,15,8,3.7,5.1,95,26,25,3081:1,3686:1,567:1,2231,40,37,13,67,35,,88,Y,1,20,87,10,6,77.5,411,66,,11,17,10,142,,23,14,1382:1,16.9,29.3,100.0
"Bastrop, TEXAS",106188,73403,18,83,53,6.4,3.3,64.4,19,6,18,20,27,47,26,7.9,37,16,7,3.6,4.9,85,15.3,20,4252:1,2794:1,1455:1,2524,36,39,16,61,35,8,84,Y,0.68,25,78,11,27,77.4,405,57,4,11,16,11,259,13,26,15,2082:1,25.4,15.8,72.0
"Baylor, TEXAS",3466,49059,21,87,46,14.4,2.7,56.9,,,18,17,34,88,26,7.2,37,18,9,3.9,5.5,113,,,435:1,3466:1,,4504,29,31,7,18,35,,82,Y,1,,68,10,31,70.7,778,,,12,18,10,,,20,12,867:1,22.8,23.2,100.0
"Bee, TEXAS",30394,48176,32,80,45,4.2,5.8,37.4,21,5,24,19,38,55,32,6.3,41,18,11,4.2,5,74,15.4,19,6185:1,3377:1,2026:1,2522,32,28,16,26,37,,76,Y,0.13,29,67,16,19,73.4,586,65,,14,17,14,548,14,22,9,1382:1,20.3,13.2,54.2
"Bell, TEXAS",388386,62412,20,91,68,7.5,4.4,73.6,18,8,19,18,28,72,27,6.8,40,17,9,4,5,67,18.9,25,1385:1,1191:1,379:1,3176,40,31,16,26,39,7,89,Y,0.11,40,55,14,76,76.0,454,67,6,12,17,12,291,12,19,9,492:1,27.3,11.8,13.7
"Bexar, TEXAS",2059530,65839,22,86,65,5.6,3.7,66.6,13,8,21,18,24,89,25,6.9,39,13,9,4,5.3,65,16.9,23,1359:1,1052:1,431:1,2437,37,39,18,36,37,9,88,Y,0.03,37,59,15,158,76.7,424,54,6,12,17,13,415,15,23,9,732:1,24.6,12.8,4.7
"Blanco, TEXAS",12418,82236,13,90,53,11.8,2.8,62.9,29,,16,18,12,38,23,8.1,36,15,6,3.5,5,82,18,13,2377:1,3105:1,2484:1,1888,36,36,13,47,33,,87,Y,1,25,78,11,32,78.7,344,,,11,16,9,105,,21,17,2070:1,16.6,26.8,100.0
